id, stimuli, type, looking, away, order, train_looking, train_away, train_looking_prop
26,4.trained,trained,7544.39592361,2000,1,27668.7180996,111272.444963,0.199139819256
26,3.trained,trained,7007.23099709,2000,2,27668.7180996,111272.444963,0.199139819256
26,2.trained,trained,8019.26112175,3954.85901833,3,27668.7180996,111272.444963,0.199139819256
26,1.trained,trained,3311.12003326,2000,4,27668.7180996,111272.444963,0.199139819256
26,4.untrained,untrained,5210.62517166,2000,5,27668.7180996,111272.444963,0.199139819256
26,2.untrained,untrained,2825.81496239,2000,6,27668.7180996,111272.444963,0.199139819256
26,1.untrained,untrained,6438.43984604,2000,7,27668.7180996,111272.444963,0.199139819256
27,3.untrained,untrained,2386.39616966,2000,1,39031.7401886,99574.1257664,0.281602368844
27,1.trained,trained,2552.32691765,2000,2,39031.7401886,99574.1257664,0.281602368844
27,4.untrained,untrained,3020.43199539,2000,3,39031.7401886,99574.1257664,0.281602368844
27,4.trained,trained,4374.92489815,2000,4,39031.7401886,99574.1257664,0.281602368844
27,3.trained,trained,4639.0581131,3184.14092064,5,39031.7401886,99574.1257664,0.281602368844
27,2.trained,trained,4454.9279213,3367.74110794,6,39031.7401886,99574.1257664,0.281602368844
27,1.untrained,untrained,4488.97981644,3051.24807358,7,39031.7401886,99574.1257664,0.281602368844
58,2.untrained,untrained,12949.5708942,3170.14098167,1,116473.979473,22195.068598,0.839942157917
58,1.untrained,untrained,11322.9460716,2568.63713264,2,116473.979473,22195.068598,0.839942157917
58,4.untrained,untrained,10537.2440815,2000,3,116473.979473,22195.068598,0.839942157917
58,1.trained,trained,8128.69000435,2000,4,116473.979473,22195.068598,0.839942157917
58,3.trained,trained,11578.1209469,2000,5,116473.979473,22195.068598,0.839942157917
58,3.untrained,untrained,3345.06416321,2000,6,116473.979473,22195.068598,0.839942157917
58,4.trained,trained,9068.11499596,2482.38396645,7,116473.979473,22195.068598,0.839942157917
48,1.trained,trained,12509.6600056,2032.91201591,1,105861.044168,32919.5756916,0.762794144278
48,3.untrained,untrained,12665.2309895,2000,2,105861.044168,32919.5756916,0.762794144278
48,3.trained,trained,21827.1679878,3860.33415794,3,105861.044168,32919.5756916,0.762794144278
48,4.untrained,untrained,14801.2809753,4876.94072723,4,105861.044168,32919.5756916,0.762794144278
48,2.untrained,untrained,6070.77002525,2000,5,105861.044168,32919.5756916,0.762794144278
48,1.untrained,untrained,5794.45815086,2000,6,105861.044168,32919.5756916,0.762794144278
48,4.trained,trained,17510.5519295,3501.43909454,7,105861.044168,32919.5756916,0.762794144278
54,3.untrained,untrained,13362.1969223,4925.50992966,1,112517.900467,26142.2665122,0.811465202431
54,2.untrained,untrained,4745.56207657,3889.04309272,2,112517.900467,26142.2665122,0.811465202431
54,2.trained,trained,904.874801636,2000,3,112517.900467,26142.2665122,0.811465202431
54,4.trained,trained,4917.02198982,2000,4,112517.900467,26142.2665122,0.811465202431
54,3.trained,trained,6083.41002464,2000,5,112517.900467,26142.2665122,0.811465202431
54,1.untrained,untrained,2542.5388813,2000,6,112517.900467,26142.2665122,0.811465202431
54,4.untrained,untrained,2207.27586746,2000,7,112517.900467,26142.2665122,0.811465202431
37,3.trained,trained,13770.4629898,2000,1,112319.658041,26246.1121079,0.81058733279
37,1.untrained,untrained,18924.2601395,2000,2,112319.658041,26246.1121079,0.81058733279
37,1.trained,trained,5153.46908569,2000,3,112319.658041,26246.1121079,0.81058733279
37,3.untrained,untrained,5070.8360672,2000,4,112319.658041,26246.1121079,0.81058733279
37,2.trained,trained,13555.4289818,3653.47576141,5,112319.658041,26246.1121079,0.81058733279
37,2.untrained,untrained,8202.40187645,2000,6,112319.658041,26246.1121079,0.81058733279
37,4.untrained,untrained,14648.8521099,2000,7,112319.658041,26246.1121079,0.81058733279
37,4.trained,trained,4838.40107918,2000,8,112319.658041,26246.1121079,0.81058733279
VS072,1.untrained,untrained,12589.3530846,2676.52201653,1,112623.30699,26065.3381344,0.812058599959
VS072,3.trained,trained,5734.8959446,2000,2,112623.30699,26065.3381344,0.812058599959
VS072,3.untrained,untrained,5138.52500916,2000,3,112623.30699,26065.3381344,0.812058599959
VS072,4.trained,trained,3617.09117889,2000,4,112623.30699,26065.3381344,0.812058599959
VS072,1.trained,trained,4598.72603416,2000,5,112623.30699,26065.3381344,0.812058599959
VS072,2.trained,trained,1869.72308159,2000,6,112623.30699,26065.3381344,0.812058599959
VS072,4.untrained,untrained,3399.43408966,2000,7,112623.30699,26065.3381344,0.812058599959
VS072,2.untrained,untrained,4736.53912544,2000,8,112623.30699,26065.3381344,0.812058599959
35,4.untrained,untrained,20962.8009796,837.1990204,1,107199.022055,31403.4528734,0.773427906755
35,4.trained,trained,12196.2590218,2397.97711372,2,107199.022055,31403.4528734,0.773427906755
35,3.untrained,untrained,13836.9269371,3242.86198616,3,107199.022055,31403.4528734,0.773427906755
35,3.trained,trained,19073.3699799,2000,4,107199.022055,31403.4528734,0.773427906755
35,2.untrained,untrained,9462.05592155,2000,5,107199.022055,31403.4528734,0.773427906755
35,2.trained,trained,8915.20595551,2000,6,107199.022055,31403.4528734,0.773427906755
35,1.untrained,untrained,5750.32782555,3706.85386658,7,107199.022055,31403.4528734,0.773427906755
36,3.trained,trained,6744.39907074,2000,1,35475.0752449,103050.401926,0.256090619353
36,3.untrained,untrained,5269.42491531,2000,2,35475.0752449,103050.401926,0.256090619353
36,1.untrained,untrained,2932.97505379,2000,3,35475.0752449,103050.401926,0.256090619353
36,1.trained,trained,13787.4610424,2464.18595314,4,35475.0752449,103050.401926,0.256090619353
36,4.trained,trained,6827.0740509,3060.6470108,5,35475.0752449,103050.401926,0.256090619353
36,2.untrained,untrained,3115.24105072,2000,6,35475.0752449,103050.401926,0.256090619353
36,2.trained,trained,7125.62179565,2000,7,35475.0752449,103050.401926,0.256090619353
76,3.untrained,untrained,12795.1500416,5292.40608215,1,115183.826208,23531.0018059,0.830364192907
76,1.trained,trained,2749.05800819,2000,2,115183.826208,23531.0018059,0.830364192907
76,2.untrained,untrained,9315.25301933,3291.61500931,3,115183.826208,23531.0018059,0.830364192907
76,1.untrained,untrained,1939.80789185,2000,4,115183.826208,23531.0018059,0.830364192907
76,4.untrained,untrained,4131.95776939,2000,5,115183.826208,23531.0018059,0.830364192907
76,4.trained,trained,3711.89403534,3071.06804848,6,115183.826208,23531.0018059,0.830364192907
76,2.trained,trained,3640.96808434,2000,7,115183.826208,23531.0018059,0.830364192907
76,3.trained,trained,2157.69195557,2000,8,115183.826208,23531.0018059,0.830364192907
34,1.trained,trained,16181.499958,3044.26693916,1,88567.2531128,50004.8377512,0.639142070821
34,3.trained,trained,14589.9782181,5448.83394242,2,88567.2531128,50004.8377512,0.639142070821
34,2.untrained,untrained,3912.67299652,2000,3,88567.2531128,50004.8377512,0.639142070821
34,1.untrained,untrained,4525.96402168,3425.88996887,4,88567.2531128,50004.8377512,0.639142070821
34,4.untrained,untrained,13163.9301777,3773.81896973,5,88567.2531128,50004.8377512,0.639142070821
34,4.trained,trained,2702.37898827,2000,6,88567.2531128,50004.8377512,0.639142070821
34,3.untrained,untrained,2022.53484726,2000,7,88567.2531128,50004.8377512,0.639142070821
29,3.trained,trained,14090.7239914,3799.81517792,1,73994.0578938,64641.0822872,0.533732340856
29,1.trained,trained,6711.45200729,2000,2,73994.0578938,64641.0822872,0.533732340856
29,2.trained,trained,21817.1460629,0,3,73994.0578938,64641.0822872,0.533732340856
29,2.untrained,untrained,4674.54385757,2000,4,73994.0578938,64641.0822872,0.533732340856
29,3.untrained,untrained,8918.67804527,2000,5,73994.0578938,64641.0822872,0.533732340856
29,4.trained,trained,6023.58484268,3452.43287086,6,73994.0578938,64641.0822872,0.533732340856
29,1.untrained,untrained,21823.7760067,0,7,73994.0578938,64641.0822872,0.533732340856
